zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD,,
FAU,water_pure-hydrophobic,05_07_13_propanediol,8,-0.769,-0.6477,-0.594892696,,
FAU,water_pure-hydrophobic,05_07_13_propanediol,9,-0.592,-0.6477,-0.594892696,,
FAU,water_pure-hydrophobic,05_07_13_propanediol,10,-0.718,-0.6477,-0.594892696,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,1,-0.561,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,2,-0.736,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,3,-0.674,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,4,-0.933,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,5,-0.59,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,6,-0.604,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,7,-0.816,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,8,-0.644,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,9,-0.666,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,05_08_13_propanediol,10,-0.812,-0.7036,-0.559916352,,
FAU,water_pure-hydrophobic,06_01_glycerol,1,-1.159,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,2,-1.031,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,3,-1.121,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,4,-1.219,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,5,-1.058,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,6,-0.972,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,7,-1.365,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,8,-1.227,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,9,-0.925,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_01_glycerol,10,-0.911,-1.0988,-0.833355352,,
FAU,water_pure-hydrophobic,06_02_glycerol,1,-1.061,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,2,-1.29,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,3,-1.148,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,4,-0.771,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,5,-1.09,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,6,-0.534,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,7,-0.72,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,8,-0.75,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,9,-1.168,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_02_glycerol,10,-0.943,-0.9475,-0.55552832,,
FAU,water_pure-hydrophobic,06_05_glycerol,1,-0.982,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,2,-1.067,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,3,-0.834,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,4,-0.958,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,5,-1.171,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,6,-1.059,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,7,-0.61,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,8,-1.082,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,9,-1.133,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,06_05_glycerol,10,-0.809,-0.9705,-0.500734288,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,1,-0.471,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,2,-0.705,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,3,-0.898,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,4,-0.581,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,5,-0.651,-0.6742,-0.5098594,,
FAU,water_pure-hydrophobic,07_01_ethene_glycol,6,-0.727,-0.6742,-0.5098594,,
