zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,5,-0.342,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,6,-0.202,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,7,-0.481,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,8,-0.19,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,9,-0.369,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,10,-0.289,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,1,-0.69,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,2,-0.768,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,3,-1.062,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,4,-0.65,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,5,-0.484,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,6,-0.683,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,7,-0.607,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,8,-0.566,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,9,-0.457,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,08_01_ethene_glycol,10,-0.649,-0.6616,-0.666178704
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,1,-0.26,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,2,-0.648,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,3,-0.519,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,4,-0.095,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,5,-0.274,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,6,-0.165,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,7,-0.533,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,8,-0.163,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,9,-0.126,-0.3418,-0.251501225
FAU,methanol_240_water_960-hydrophilic,11_01_propylene_glycol,10,-0.635,-0.3418,-0.251501225
