zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_240_water_960-hydrophilic,01_methanol,1,0.013,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,2,-0.082,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,3,-0.046,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,4,0.057,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,5,-0.061,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,6,-0.108,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,7,-0.085,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,8,-0.022,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,9,-0.192,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,01_methanol,10,-0.137,-0.0663,-0.280475894
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,1,-0.432,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,2,-0.441,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,3,-0.262,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,4,-0.276,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,5,-0.238,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,6,-0.194,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,7,-0.086,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,8,-0.398,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,9,-0.253,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,02_01_02_propanol,10,-0.34,-0.292,-0.470408304
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,1,-0.701,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,2,-0.964,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,3,-0.521,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,4,-0.529,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,5,-1.017,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,6,-0.589,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,7,-0.894,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,8,-0.82,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,9,-0.675,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,04_05_glycerol,10,-1.018,-0.7728,-0.67865988
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,1,-0.218,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,2,-0.291,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,3,-0.273,-0.2961,-0.6841666
FAU,methanol_240_water_960-hydrophilic,05_3c_aldehyde,4,-0.306,-0.2961,-0.6841666
