zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,7,-0.384,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,8,-0.379,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,9,-0.205,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,10,-0.33,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,1,-0.752,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,2,-0.574,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,3,-0.555,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,4,-0.581,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,5,-0.535,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,6,-0.755,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,7,-0.899,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,8,-0.884,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,9,-0.62,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,08_01_ethene_glycol,10,-0.533,-0.6688,-0.654918112
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,1,-0.472,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,2,-0.258,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,3,-0.319,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,4,-0.506,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,5,-0.181,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,6,-0.371,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,7,-0.388,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,8,-0.144,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,9,-0.164,-0.314,-0.261622099
FAU,methanol_120_water_1080-hydrophilic,11_01_propylene_glycol,10,-0.337,-0.314,-0.261622099
