zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_120_water_1080-hydrophilic,01_methanol,1,-0.172,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,2,-0.135,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,3,-0.255,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,4,-0.181,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,5,-0.146,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,6,-0.176,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,7,-0.261,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,8,-0.176,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,9,-0.252,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,01_methanol,10,-0.218,-0.1972,-0.292677398
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,1,-0.157,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,2,-0.361,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,3,-0.252,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,4,-0.341,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,5,-0.248,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,6,-0.425,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,7,-0.326,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,8,-0.308,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,9,-0.382,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,02_01_02_propanol,10,-0.375,-0.3175,-0.444615608
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,1,-0.472,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,2,-0.561,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,3,-0.515,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,4,-0.714,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,5,-1.144,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,6,-0.851,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,7,-0.893,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,8,-1.037,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,9,-1.066,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,04_05_glycerol,10,-0.579,-0.7832,-0.646890008
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,1,-0.211,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,2,-0.196,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,3,-0.281,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,4,-0.364,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,5,-0.346,-0.2946,-0.64553284
FAU,methanol_120_water_1080-hydrophilic,05_3c_aldehyde,6,-0.25,-0.2946,-0.64553284
